tabulador,url
"Produção Hospitalar (SIH/SUS) - Dados Detalhados de AIH (SP), por local de residência, 2008 em diante",http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sih/cnv/spruf.def
"Produção Hospitalar (SIH/SUS) - Dados Detalhados de AIH (SP), por gestor, de 2008 em diante",http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sih/cnv/spgbr.def
Pactos de Atenção Básica - 2006,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pacto/2006/cnv/pacbr.def
Pactos de Atenção Básica - 2005,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pacto/2005/cnv/pacbr.def
Pactos de Atenção Básica - 2004,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pacto/2004/cnv/pacbr.def
Pactos de Atenção Básica - 2003,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pacto/2003/cnv/pacbr.def
Pactos de Atenção Básica - 2002,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pacto/2002/cnv/pacbr.def
Pacto pela Saúde – 2010/2011 - Indicadores,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pacto/2010/cnv/pactbr.def
Pacto pela Saúde – 2010/201 - valores absolutos,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pacto/2010/cnv/ABSbr.def
Transição Pacto pela Saúde e COAP – 2012 - Indicadores,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pacto/2012/cnv/pactbr.def
Transição Pacto pela Saúde e COAP – 2012 - Valores Absolutos,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pacto/2012/cnv/ABSbr.def
"Rol de Diretrizes, Objetivos, Metas e Indicadores 2013-2015 – Edição 2015 - Indicadores Regionais, Estaduais e Nacionais",http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pacto/2015/cnv/coapcirbr.def
"Rol de Diretrizes, Objetivos, Metas e Indicadores 2013-2015 – Edição 2015 - Indicadores Municipais",http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pacto/2015/cnv/coapmunbr.def
"Rol de Diretrizes, Objetivos, Metas e Indicadores 2013-2015 – Edição 2015 - Valores Absolutos",http://tabnet.datasus.gov.br/cgi/tabcgi.exe?pacto/2015/cnv/absbr.def
A. Indicadores demográficos - População total - A.1,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?idb2012/a01.def
A. Indicadores demográficos - Razão de sexo - A.2,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?idb2012/a02.def
A. Indicadores demográficos - Proporção de menores de 5 anos de idade na população - A.13,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?idb2012/a13.def
A. Indicadores demográficos - Proporção de idosos na população - A.14,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?idb2012/a14.def
A. Indicadores demográficos - Índice de envelhecimento - A.15,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?idb2012/a15.def
A. Indicadores demográficos - Razão de dependência - A.16,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?idb2012/a16.def
A. Indicadores demográficos - Mortalidade proporcional por idade - A.8,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?idb2012/a08.def
"A. Indicadores demográficos - Mortalidade proporcional por idade, em menores de 1 ano de idade - A.9",http://tabnet.datasus.gov.br/cgi/deftohtm.exe?idb2012/a09.def
"B. Indicadores socioeconômicos - B.2.1 Escolaridade da população de 15 anos ou mais - Fonte: IBGE/Pesquisa Nacional por Amostra de Domicílios - PNAD 2001-2009, 2011-2012",http://tabnet.datasus.gov.br/cgi/dh.exe?idb2012/b0201c.def
